density_scenario,information_stock,information_scale,information_multiplier,worlds,mean_prior_cutoff_gap,budget_multiple,budget,cutoff_mean,cutoff_se,combined_mean,combined_se,combined_improvement_vs_cutoff_mean,combined_improvement_vs_cutoff_se,combined_win_rate_vs_cutoff,combined_pct_improvement_vs_cutoff,best_policy_by_mean
crowded,balanced,baseline_info,1.0,100,0.05506114665007817,30,1800,0.020689535691696036,0.004695220792629348,0.056801081100329325,0.010305564556336317,-0.036111545408633296,0.011525531921437708,0.28,-174.5401440938428,cutoff_only
crowded,balanced,high_info,1.5,100,0.05532922265331829,1,60,0.19937663767723696,0.022993343726879358,0.16933179009901092,0.02152689603001632,0.030044847578225994,0.02406178990770661,0.38,15.069392245878086,cutoff_x_uncertainty
crowded,balanced,high_info,1.5,100,0.05532922265331829,3,180,0.11174383228815814,0.015986701400660504,0.11636693920084096,0.016890715680298846,-0.004623106912682822,0.02113631610772799,0.41,-4.137236765570235,cutoff_only
crowded,balanced,high_info,1.5,100,0.05532922265331829,10,600,0.05295776842108204,0.009434605147258962,0.08278264645445191,0.012564624090221346,-0.029824878033369865,0.01372592415544136,0.26,-56.31823039865259,cutoff_only
crowded,balanced,high_info,1.5,100,0.05532922265331829,30,1800,0.015292290524493289,0.003161331176931793,0.03886066710797333,0.006620484217439894,-0.023568376583480048,0.00715558534884961,0.23,-154.11933579035235,cutoff_only
crowded,heterogeneous,low_info,0.65,100,0.05467576469287794,1,60,0.3545255612165854,0.0406588690327505,0.3822769324003963,0.04091341668991778,-0.027751371183810814,0.04437552536440219,0.29,-7.827749031291161,cutoff_only
crowded,heterogeneous,low_info,0.65,100,0.05467576469287794,3,180,0.2503239197260769,0.03300773485473946,0.30733402920801617,0.03395067688964825,-0.0570101094819392,0.04070153336496177,0.28,-22.774535307821925,cutoff_only
crowded,heterogeneous,low_info,0.65,100,0.05467576469287794,10,600,0.12761911257740957,0.018767674354248674,0.16252629641935606,0.021624795162240116,-0.03490718384194645,0.02068819924941736,0.27,-27.352630132710647,cutoff_only
crowded,heterogeneous,low_info,0.65,100,0.05467576469287794,30,1800,0.03991145733172537,0.009010270076587721,0.0709611700529186,0.010489782803037053,-0.03104971272119323,0.012645909317189638,0.28,-77.79648952210023,cutoff_only
crowded,heterogeneous,baseline_info,1.0,100,0.05533903915503096,1,60,0.281728010179219,0.029679713139913938,0.24993247220853818,0.02867929650894487,0.03179553797068079,0.028568234473981925,0.4,11.285898746970283,cutoff_x_uncertainty
crowded,heterogeneous,baseline_info,1.0,100,0.05533903915503096,3,180,0.19709490619196754,0.025622756494315217,0.18381968495901801,0.019811721244315208,0.013275221232949547,0.025879611873209068,0.34,6.735446130718202,cutoff_x_uncertainty
crowded,heterogeneous,baseline_info,1.0,100,0.05533903915503096,10,600,0.07220645371559069,0.011721672335142078,0.1153815281860319,0.015528042888259963,-0.04317507447044118,0.017036045640352805,0.22,-59.793927341315886,cutoff_only
crowded,heterogeneous,baseline_info,1.0,100,0.05533903915503096,30,1800,0.030683644300655063,0.005781535033862676,0.0745599370601326,0.010794557877416065,-0.04387629275947754,0.011778558100328391,0.26,-142.99570262760747,cutoff_only
